Generation	Freq_c	Freq_CC	Freq_Cc	Freq_cc
0	0.020000	0.960400	0.039200	0.000400
1	0.019608	0.961169	0.038447	0.000384
2	0.019231	0.961908	0.037722	0.000370
3	0.018868	0.962620	0.037024	0.000356
4	0.018519	0.963306	0.036351	0.000343
5	0.018182	0.963967	0.035702	0.000331
6	0.017857	0.964605	0.035077	0.000319
7	0.017544	0.965220	0.034472	0.000308
8	0.017241	0.965815	0.033888	0.000297
9	0.016949	0.966389	0.033324	0.000287
10	0.016667	0.966944	0.032778	0.000278
11	0.016393	0.967482	0.032249	0.000269
12	0.016129	0.968002	0.031738	0.000260
13	0.015873	0.968506	0.031242	0.000252
14	0.015625	0.968994	0.030762	0.000244
15	0.015385	0.969467	0.030296	0.000237
16	0.015152	0.969927	0.029844	0.000230
17	0.014925	0.970372	0.029405	0.000223
18	0.014706	0.970804	0.028979	0.000216
19	0.014493	0.971225	0.028565	0.000210
20	0.014286	0.971633	0.028163	0.000204
21	0.014085	0.972029	0.027772	0.000198
22	0.013889	0.972415	0.027392	0.000193
23	0.013699	0.972790	0.027022	0.000188
24	0.013514	0.973156	0.026662	0.000183
25	0.013333	0.973511	0.026311	0.000178
26	0.013158	0.973857	0.025970	0.000173
27	0.012987	0.974195	0.025637	0.000169
28	0.012821	0.974523	0.025312	0.000164
29	0.012658	0.974844	0.024996	0.000160
30	0.012500	0.975156	0.024688	0.000156
31	0.012346	0.975461	0.024387	0.000152
32	0.012195	0.975758	0.024093	0.000149
33	0.012048	0.976049	0.023806	0.000145
34	0.011905	0.976332	0.023526	0.000142
35	0.011765	0.976609	0.023253	0.000138
36	0.011628	0.976879	0.022985	0.000135
37	0.011494	0.977144	0.022724	0.000132
38	0.011364	0.977402	0.022469	0.000129
39	0.011236	0.977654	0.022219	0.000126
40	0.011111	0.977901	0.021975	0.000123
41	0.010989	0.978143	0.021737	0.000121
42	0.010870	0.978379	0.021503	0.000118
43	0.010753	0.978610	0.021274	0.000116
44	0.010638	0.978837	0.021050	0.000113
45	0.010526	0.979058	0.020831	0.000111
46	0.010417	0.979275	0.020616	0.000109
47	0.010309	0.979488	0.020406	0.000106
48	0.010204	0.979696	0.020200	0.000104
49	0.010101	0.979900	0.019998	0.000102
50	0.010000	0.980100	0.019800	0.000100
51	0.009901	0.980296	0.019606	0.000098
52	0.009804	0.980488	0.019416	0.000096
53	0.009709	0.980677	0.019229	0.000094
54	0.009615	0.980862	0.019046	0.000092
55	0.009524	0.981043	0.018866	0.000091
56	0.009434	0.981221	0.018690	0.000089
57	0.009346	0.981396	0.018517	0.000087
58	0.009259	0.981567	0.018347	0.000086
59	0.009174	0.981736	0.018180	0.000084
60	0.009091	0.981901	0.018017	0.000083
61	0.009009	0.982063	0.017856	0.000081
62	0.008929	0.982223	0.017698	0.000080
63	0.008850	0.982379	0.017542	0.000078
64	0.008772	0.982533	0.017390	0.000077
65	0.008696	0.982684	0.017240	0.000076
66	0.008621	0.982833	0.017093	0.000074
67	0.008547	0.982979	0.016948	0.000073
68	0.008475	0.983123	0.016806	0.000072
69	0.008403	0.983264	0.016665	0.000071
70	0.008333	0.983403	0.016528	0.000069
71	0.008264	0.983539	0.016392	0.000068
72	0.008197	0.983674	0.016259	0.000067
73	0.008130	0.983806	0.016128	0.000066
74	0.008065	0.983936	0.015999	0.000065
75	0.008000	0.984064	0.015872	0.000064
76	0.007937	0.984190	0.015747	0.000063
77	0.007874	0.984314	0.015624	0.000062
78	0.007813	0.984436	0.015503	0.000061
79	0.007752	0.984556	0.015384	0.000060
80	0.007692	0.984675	0.015266	0.000059
81	0.007634	0.984791	0.015151	0.000058
82	0.007576	0.984906	0.015037	0.000057
83	0.007519	0.985019	0.014925	0.000057
84	0.007463	0.985130	0.014814	0.000056
85	0.007407	0.985240	0.014705	0.000055
86	0.007353	0.985348	0.014598	0.000054
87	0.007299	0.985455	0.014492	0.000053
88	0.007246	0.985560	0.014388	0.000053
89	0.007194	0.985663	0.014285	0.000052
90	0.007143	0.985765	0.014184	0.000051
91	0.007092	0.985866	0.014084	0.000050
92	0.007042	0.985965	0.013985	0.000050
93	0.006993	0.986063	0.013888	0.000049
94	0.006944	0.986159	0.013792	0.000048
95	0.006897	0.986254	0.013698	0.000048
96	0.006849	0.986348	0.013605	0.000047
97	0.006803	0.986441	0.013513	0.000046
98	0.006757	0.986532	0.013422	0.000046
99	0.006711	0.986622	0.013333	0.000045
100	0.006667	0.986711	0.013244	0.000044
101	0.006623	0.986799	0.013157	0.000044
102	0.006579	0.986885	0.013071	0.000043
103	0.006536	0.986971	0.012986	0.000043
104	0.006494	0.987055	0.012903	0.000042
105	0.006452	0.987138	0.012820	0.000042
106	0.006410	0.987221	0.012738	0.000041
107	0.006369	0.987302	0.012658	0.000041
108	0.006329	0.987382	0.012578	0.000040
109	0.006289	0.987461	0.012500	0.000040
110	0.006250	0.987539	0.012422	0.000039
111	0.006211	0.987616	0.012345	0.000039
112	0.006173	0.987692	0.012269	0.000038
113	0.006135	0.987768	0.012195	0.000038
114	0.006098	0.987842	0.012121	0.000037
115	0.006061	0.987916	0.012048	0.000037
116	0.006024	0.987988	0.011976	0.000036
117	0.005988	0.988060	0.011904	0.000036
